BooksVersusMovies.com — Advice
==============================
Model:     Claude Sonnet (anthropic/claude-sonnet-4-5)
Generated: 2026-04-16T18:22:17.254Z
Duration:  320817ms

── Question ──────────────────────────────────────────────────────────

PRIMARY QUESTION
================
Revised SEO Optimization Prompt
ACT AS A SENIOR SEO ARCHITECT AND CONTENT STRATEGIST WITH 20+ YEARS OF EXPERIENCE IN SEARCH ALGORITHMS. Your task is to audit and revise the provided CSV data to meet EXACT TECHNICAL SPECIFICATIONS for 2026 search engine standards. Failure to adhere to these limits will result in content truncation and loss of Search Engine Result Page (SERP) visibility.

🛑 ABSOLUTE CHARACTER LIMITS (HARD STOPS)
You must treat these limits as PHYSICAL BARRIERS. Do not exceed them by even a single character:

PAGE TITLE (pageTitle): * MAXIMUM: 60 CHARACTERS. * OPTIMAL RANGE: 50–55 CHARACTERS.
REASONING: Google truncates titles at ~600 pixels. To ensure your "Book vs Movie" branding and the "Hook" are visible, you must be concise.
META DESCRIPTION (metaDesc):
MAXIMUM: 155 CHARACTERS.
OPTIMAL RANGE: 120–150 CHARACTERS.
REASONING: Mobile search results are more restrictive. Key information MUST appear in the first 120 characters.
URL SLUG (slug):
MAXIMUM: 75 CHARACTERS.
REASONING: Short, keyword-dense slugs perform better for crawl depth and user sharing.
🛠 REVISION INSTRUCTIONS
IDENTIFY: Scan the pageTitle and metaDesc columns for any entry exceeding the limits above.
REWRITE: Edit the text to be punchy and keyword-rich while staying within the SAFE ZONE.
PRESERVE TONE: Maintain the analytical "Book vs Movie" comparison style. Ensure the "Winner" or the "Comparison Hook" remains clear.
FORMAT: Output the revised data in a clean CSV format using UTF-8 with BOM to ensure special characters (like en-dashes and accents in author names) render perfectly in Excel and web crawlers.

THIS IS CRITICAL FOR THE SITE’S INDEXATION INTEGRITY. DO NOT HALLUCINATE OR REMOVE ROWS. ONLY REVISE THE TEXT FOR LENGTH COMPLIANCE.

Your response should only be in the form of the updated and improved CSV

SUPPORTING INFORMATION
======================
The following files provide additional context. They are not questions — treat them as background information only.


--- seo-metadata-for-review.txt ---
filename,slug,pageTitle,metaDesc,oneLineReason,verdict,lastUpdated
"white-noise.html","white-noise","White Noise Book vs Movie: DeLillo's Language Is the Plot. Baumb…","Baumbach nails the supermarket and the airborne toxic event. He can't film the prose style that makes them mean something. Read the book.","DeLillo's prose—brand names, fragmented rhythm, linguistic breakdown—cannot be filmed.","Book Wins","2026-04-11"
"wolf-hall.html","wolf-hall","Wolf Hall Book vs Series: Mantel Gives You Cromwell's Mind. Ryla…","Rylance's performance is definitive. But Mantel's present-tense prose puts you inside Cromwell's calculations in ways no actor can. Read first.","Mantel's present-tense narration seals you inside Cromwell's mind in ways prose alone can achieve.","Book Wins","2026-04-11"
"world-war-z.html","world-war-z","World War Z Book vs Movie: Brooks's Oral History Can't Be Filmed…","Forster made a decent action thriller. Brooks wrote something formally original that only works on the page. They share a title, nothing else.","Brooks's oral history format cannot survive translation to film.","Book Wins","2026-04-11"
"wuthering-heights.html","wuthering-heights","Wuthering Heights Book vs Movie: Brontë's Nesting Makes Heathcli…","The novel withholds Heathcliff through Nelly and Lockwood. Film must show him directly. That structural choice is everything. Read first.","The nested narrative structure—withholding and displacing—only works on the page.","Book Wins","2026-04-11"

── Response ──────────────────────────────────────────────────────────

```csv
filename,slug,pageTitle,metaDesc,oneLineReason,verdict,lastUpdated
"a-beautiful-mind.html","a-beautiful-mind","A Beautiful Mind Book vs Movie: Truth vs Terror","Nasar's bio owns Nash's full life. Howard's film owns the terror of losing reality.","Nasar's biography owns Nash's full truth; Howard's film owns the terror of losing your mind.","Too Close to Call","2026-04-11"
"a-knight-of-the-seven-kingdoms.html","a-knight-of-the-seven-kingdoms","A Knight of the Seven Kingdoms: Martin vs HBO","Martin gave Westeros heart. HBO gave it scale. Both irreplaceable—read and watch in any order.","Martin's prose warmth versus HBO's fully realised world—each irreplaceable.","Too Close to Call","2026-04-11"
"a-little-life.html","a-little-life","A Little Life Book vs Movie: 700 Pages Can't Fit","Van Hove's film compresses what only works through accumulation. The novel's slow devastation becomes rushed suffering. Read the book.","The novel's 700-page accumulation of trauma cannot survive two-hour compression.","Book Wins","2026-04-11"
"a-man-called-ove.html","a-man-called-ove","A Man Called Ove: Without His Voice, He's Just Sad","Hannes Holm's film captures warmth but can't capture the caustic brilliance that makes Ove more than a curmudgeon. Read first.","Ove's caustic internal monologue exists only on the page.","Book Wins","2026-04-11"
"a-walk-to-remember.html","a-walk-to-remember","A Walk to Remember: Sparks's 1950s Grief Wins","The novel's retrospective voice and period setting make the loss feel earned. The 2002 film is easier to cry at—but harder to believe.","Retrospective narration and 1950s setting earn emotional weight the film cannot replicate.","Book Wins","2026-04-11"
"about-a-boy.html","about-a-boy","About a Boy: Hornby Owns Marcus, Grant Owns Will","The novel gets inside Marcus's head in ways the film can't. The film gives Will a face Hornby never managed. Both essential.","Hornby's prose owns Marcus's strangeness; Grant owns Will's weaponized charm.","Too Close to Call","2026-04-11"
"all-quiet-on-the-western-front.html","all-quiet-on-the-western-front","All Quiet: Remarque's Voice vs Berger's Film","Remarque wrote from the trenches in first person. Berger made the first honest German-language film. Both irreplaceable. Read first.","Remarque's first-person voice irreplaceable; Berger's German perspective and armistice framing irreplaceable.","Too Close to Call","2026-04-11"
"all-the-light-we-cannot-see.html","all-the-light-we-cannot-see","All the Light: Doerr Makes You See Through Her","Netflix captured the plot. It can't capture the prose that turns blindness into a way of knowing the world. Read the book first.","Doerr's prose renders Marie-Laure's blindness as heightened perception; no camera can replicate that.","Book Wins","2026-04-11"
"along-came-a-spider.html","along-came-a-spider","Along Came a Spider: Jezzie's Betrayal Only Works","Patterson's Jezzie twist devastates. The film turns her into a generic corrupt cop. Soneji's fractured mind? Gone. Read first.","Jezzie's betrayal and Soneji's fractured psychology exist only on the page.","Book Wins","2026-04-11"
"american-gods.html","american-gods","American Gods: The Series Was Cancelled. Read It.","Fuller's first season is visually stunning. Then the show collapsed and left Gaiman's mystery unfinished. Read the book—it ends.","The novel completes its mystery; the series was cancelled unresolved.","Book Wins","2026-04-11"
"american-psycho.html","american-psycho","American Psycho: Ellis's Bateman Is Unfilmable","The novel's violence and unreliable narration can't survive adaptation. Harron made a sharp satire instead. Read Ellis first.","Ellis's unreliable narrator and graphic violence exist only on the page.","Book Wins","2026-04-11"
"animal-farm.html","animal-farm","Animal Farm: Orwell's 80 Pages Are Perfect","The novella is surgical. The film is sincere and beautiful. But every scene Serkis adds dilutes what Orwell kept spare.","Orwell's prose economy — eighty pages of surgical precision — cannot be expanded without loss.","Book Wins","2026-04-11"
"annihilation.html","annihilation","Annihilation: VanderMeer's Nameless Voice Wins","Garland made one of the most beautiful sci-fi films in years. He can't replicate VanderMeer's unnamed narrator. Read first.","The biologist's unnamed first-person voice cannot be filmed.","Book Wins","2026-04-11"
"arrival.html","arrival","Story of Your Life Book vs Movie","","Novella is pure intellect; film adds heart without betraying it.","Too Close to Call","2026-04-15"
"atonement.html","atonement","Atonement: Read It First or Briony's Twist Fails","Wright made one of the most beautiful films of the 2000s. It can't do what McEwan does on the page. Read the book first.","The metafictional ending only works on the page.","Book Wins","2026-04-11"
"band-of-brothers.html","band-of-brothers","Band of Brothers: Ambrose Owns Record, HBO Owns","The book is history. The series is the finest combat television ever made. You need both. Either order works.","Ambrose's history owns the record; the series owns the visceral experience of combat.","Too Close to Call","2026-04-11"
"beloved.html","beloved","Beloved: Morrison's Fragments Enact Trauma","The novel's structure is the trauma—nonlinear, circling, refusing closure. Demme's film proceeds chronologically. Read first.","Morrison's fragmented prose enacts trauma; film must proceed chronologically.","Book Wins","2026-04-11"
"big-fish.html","big-fish","Big Fish: Wallace's Gaps vs Burton's Daffodils","Wallace wrote spare melancholy. Burton made visual extravagance. Each owns something the other can't touch. Either order works.","Wallace's gaps exist only on the page; Burton's daffodils only on screen.","Too Close to Call","2026-04-11"
"big-little-lies-hbo.html","big-little-lies-hbo","Big Little Lies: Moriarty's Wit vs Kidman's Wreck","The novel is funnier. The series is more devastating. Vallée's Monterey sharpens what Moriarty kept light. Both earn their ending.","Moriarty's comic voice sustains on the page; Kidman's performance deepens the screen.","Too Close to Call","2026-04-11"
"blade-runner.html","blade-runner","Do Androids Dream of Electric Sheep? Book vs Movie","","Scott's vision deepens Dick's philosophy with visual poetry.","Film Wins","2026-04-15"
"breakfast-at-tiffanys.html","breakfast-at-tiffanys","Breakfast at Tiffany's: Capote Lets Her Go","The novella ends with Holly vanished and unknowable. The film ends with a kiss in the rain. Both choices are perfect.","Capote's ambiguous ending honors Holly's restlessness; Hepburn's icon transcends the source.","Too Close to Call","2026-04-11"
"bridgerton.html","bridgerton","The Duke and I: Quinn's Intimacy Beats Spectacle","The show is gorgeous. But Quinn keeps you inside Daphne and Simon's negotiation in ways the series can't. The book's focus wins.","Quinn's tighter focus on Daphne and Simon's emotional negotiation outweighs the series's spectacle.","Book Wins","2026-04-11"
"brooklyn.html","brooklyn","Brooklyn: What Eilis Doesn't Say Is Everything","Ronan's performance is luminous. But the novel's power lives in the silence between feeling and speech—something no actor can show.","Tóibín's prose restraint—the gap between what Eilis feels and says—cannot be replicated on screen.","Book Wins","2026-04-11"
"catch-22.html","catch-22","Catch-22: Heller's Circles Are the Point","The novel loops back on itself until war's logic collapses. The film gives you the scenes without the trap. Read the book first.","The novel's circular structure is the formal argument itself.","Book Wins","2026-04-11"
"catch-me-if-you-can.html","catch-me-if-you-can","Catch Me If You Can: Crime vs Father-Son Story","The memoir shows you how the cons worked. The film gives Frank a father worth chasing. Both are essential for different reasons.","Book teaches fraud mechanics; film owns the emotional father-son story Spielberg invented.","Too Close to Call","2026-04-11"
"cold-mountain.html","cold-mountain","Cold Mountain: Frazier's Sentences Walk","The novel's rhythm is the journey—long, rolling sentences that enact Inman's walk home. The film can only photograph it. Read first.","Frazier's prose rhythm—long rolling sentences mimicking the walk itself—is inseparable from meaning.","Book Wins","2026-04-11"
"contact.html","contact","Contact: Sagan's Pi Ending vs Foster's Face","The novel ends with a mathematical proof of God. The film ends with Jodie Foster's face. Both are transcendent. Read first, then watch.","Sagan's pi revelation exists only on the page; Foster owns the screen.","Too Close to Call","2026-04-11"
"da-vinci-code.html","da-vinci-code","The Da Vinci Code: Brown's Cliffhangers Win","Howard made a handsome film. Brown made a thriller you physically cannot stop reading. The book is an experience the movie describes.","Brown's chapter-ending cliffhangers create puzzle-solving momentum the film cannot replicate.","Book Wins","2026-04-11"
"daisy-jones-and-the-six.html","daisy-jones-and-the-six","Daisy Jones: Reid's Oral History Does What TV Can't","The contradictions between band members create the truth in Reid's novel. The series just dramatizes it. Read the book first.","The oral history format—truth assembled from contradictory testimony—only works on the page.","Book Wins","2026-04-11"
"dark-matter.html","dark-matter","Dark Matter: Crouch's Velocity vs Edgerton's Split","The novel is propulsive in ways TV can't be. Edgerton does things with Jason's split that prose can't. Both are essential.","Novel's velocity versus Edgerton's dual performance—each irreplaceable.","Too Close to Call","2026-04-11"
"devil-wears-prada.html","devil-wears-prada","The Devil Wears Prada: Book's Andy Deserves Scorn","Weisberger wrote a protagonist who sells out and knows it. The film made her sympathetic. That's the whole problem. Read first.","Weisberger's Andy is morally compromised; the films softened her into sympathy.","Book Wins","2026-04-11"
"divergent.html","divergent","Divergent: Roth's Tris Questions Herself","The novel gives you a narrator who doubts her own choices. The film gives you a hero who looks conflicted. Read the book first.","Tris's first-person voice carries moral ambivalence the film's screenplay cannot match.","Book Wins","2026-04-11"
"doctor-sleep.html","doctor-sleep","Doctor Sleep: King's Recovery Arc Wins","McGregor nails Danny. But King spends 500 pages inside an addict's mind in ways no film can match. The book earns what the film rushes.","King's recovery narrative and True Knot backstory exceed what film can hold.","Book Wins","2026-04-11"
"dracula.html","dracula","Dracula: Stoker Never Shows the Monster","Coppola's Dracula is gorgeous, operatic, everywhere. Stoker's is fragments, terror, absence. The novel is stranger and frightening.","Stoker's epistolary format renders Dracula through terrified fragments; Coppola shows him constantly, romantically.","Book Wins","2026-04-11"
"dune.html","dune","Dune: Herbert Makes Paul a Villain","The book is an argument about power and prophecy. The film is a spectacle that gestures toward it. Read Herbert first or miss it.","Herbert makes Paul's complicity explicit; the films leave it ambiguous.","Book Wins","2026-04-11"
"eat-pray-love.html","eat-pray-love","Eat Pray Love: Gilbert's Wit Lives on the Page","Murphy made a beautiful travelogue. Gilbert wrote a memoir of intellectual rigor and self-awareness Roberts can't touch. Read first.","Gilbert's voice—witty, self-aware, intellectually rigorous—exists only on the page.","Book Wins","2026-04-11"
"enders-game-film.html","enders-game-film","Ender's Game: Hood Shows War, Card Shows Cost","The Battle Room looks stunning. But Card's novel lives inside Ender's mind as it's weaponized—something no film can do. Read first.","The novel's sustained interiority cannot exist on screen.","Book Wins","2026-04-11"
"enders-game.html","enders-game","Ender's Game: Card Shows Mind, Hood Shows Wins","The novel is about strategy and moral weight. The film is about spectacle. Hood made a competent adaptation of an unfilmable book.","Card's prose reveals Ender's mind; the film only shows his victories.","Book Wins","2026-04-11"
"english-patient.html","english-patient","The English Patient: Romance vs Kip's Rage","The film won nine Oscars for its love story. The novel has Kip's rage at Hiroshima—the political reckoning Minghella cut. Read both.","Minghella perfects the love story; Ondaatje owns Kip's political reckoning.","Too Close to Call","2026-04-11"
"everything-everything.html","everything-everything","Everything, Everything: Yoon's Twist Devastates","Yoon's multimedia format makes you live inside Maddy's mind before the medical reveal shatters it. The film just shows the plot.","Yoon's multimedia format and psychological depth make the medical twist devastate on the page.","Book Wins","2026-04-11"
"feedback.html","feedback","Strategic Audit | BooksVersusMovies","","","",""
"fight-club.html","fight-club","Fight Club: Palahniuk's Prose vs Fincher's Edit","The novel's rhythm lives in sentence fragments. The film's lives in frames you don't see. Both are perfect. Either order works.","Palahniuk's staccato prose owns the page; Fincher's subliminal editing owns the screen.","Too Close to Call","2026-04-11"
"five-feet-apart.html","five-feet-apart","Five Feet Apart: Stella's Rules Mean Nothing Solo","Baldoni's film makes the distance romantic. Lippincott's book makes it survival. The internal spiral is what makes the rules matter.","Stella's spiraling internal monologue reveals why her rules matter more than romance.","Book Wins","2026-04-11"
"fourth-wing.html","fourth-wing","Fourth Wing: Violet's Wit Lives in Her Head","Yarros built Violet through internal voice: tactical thinking, self-awareness, razor wit. That's the hardest thing to adapt. Read first.","Violet's internal voice—wit, tactical thinking, self-awareness—exists only on the page.","Book Wins","2026-04-11"
"frankenstein.html","frankenstein","Frankenstein: Shelley's Creature Argues","Del Toro made the most faithful adaptation in cinema history. It still can't give you the creature's voice. Read the book first.","The creature's philosophical voice and moral arguments exist only on the page.","Book Wins","2026-04-11"
"geralds-game.html","geralds-game","Gerald's Game: Can't Get Inside Jessie's Head","King spends 332 pages inside Jessie's fracturing mind. Flanagan made a masterpiece—but dissociation only works on the page.","King's sustained psychological excavation of dissociated consciousness cannot be externalized.","Book Wins","2026-04-11"
"ghost-world.html","ghost-world","Ghost World: Buscemi and Johansson Make It Real","Zwigoff cast the film so perfectly that Enid and Seymour feel more alive on screen than on the page. A rare case where actors deepen.","Zwigoff's casting and performances deepen what Clowes sketched.","Film Wins","2026-04-13"
"girl-on-the-train.html","girl-on-the-train","The Girl on the Train: Blunt Can't Give You Her","Hawkins traps you inside an unreliable narrator's spiral. Taylor can only show you a drunk woman on a train. Read the book first.","Rachel's fractured first-person narration only works on the page.","Book Wins","2026-04-11"
"girl-with-the-dragon-tattoo.html","girl-with-the-dragon-tattoo","Dragon Tattoo: Fincher's Film vs Larsson's Rot","Mara's performance is stunning. But Larsson gives you Lisbeth's interior world and Sweden's rot in ways Fincher can't. Read first.","Larsson's institutional critique and Lisbeth's interior world exist only on the page.","Book Wins","2026-04-11"
"gone-girl.html","gone-girl","Gone Girl: Pike Owns Screen, Flynn Owns Amy","Fincher's film gives you Rosamund Pike's face. Flynn's novel gives you Amazing Amy's architecture. Both manipulate you differently.","Pike's face owns the screen; Flynn's Amazing Amy owns the page.","Too Close to Call","2026-04-11"
"good-omens.html","good-omens","Good Omens: Pratchett's Footnotes vs Sheen","The novel's wit lives in the margins. The series lives in two performances you can't replicate on the page. Read first, then watch.","The novel's footnotes and dual authorship exist only on the page; Sheen and Tennant own the screen.","Too Close to Call","2026-04-11"
"hamnet.html","hamnet","Hamnet: Buckley Can't Give You 300 Pages Inside","O'Farrell makes you live inside grief. Zhao can only show you its face. The novel's intimacy makes the loss unbearable. Read first.","Only prose can sustain 300 pages inside Agnes's consciousness.","Book Wins","2026-04-11"
"hannibal-series.html","hannibal-series","Hannibal: Harris Built Monster, Fuller Made Art","The novels are essential thrillers. Fuller's series is formally extraordinary. Both irreplaceable—neither a substitute. Read first.","Harris's thrillers are tightly plotted source material; Fuller's visual language is irreplaceable.","Book Wins","2026-04-11"
"heated-rivalry.html","heated-rivalry","Heated Rivalry: Reid Owns Longing, Tierney Owns","The novel gives you Ilya's silence. The show gives you the glances that break it. Both versions are essential for different reasons.","Reid's interior voice lives only on the page; Tierney's compression tightens what matters most.","Too Close to Call","2026-04-11"
"high-fidelity.html","high-fidelity","High Fidelity: Hornby's Lists Hide Pain","Hornby wrote a man who hides behind music. Cusack plays him as someone who can't. Both versions work. Start with either.","Hornby's interior prose irreplaceable; Cusack's monologues own the screen.","Too Close to Call","2026-04-11"
"hillbilly-elegy.html","hillbilly-elegy","Hillbilly Elegy: Vance Explains, Howard Exploits","The book is sociology disguised as memoir. The film is melodrama disguised as empathy. Read the book first or miss the entire point.","The memoir's sociological analysis of class and culture vanishes entirely from the film.","Book Wins","2026-04-11"
"hitchhikers-guide.html","hitchhikers-guide","Hitchhiker's Guide: Adams's Narrator Is the Joke","Adams wrote a novel where the narrator is funnier than the plot. Jennings cast it well and missed the point. Read the book first.","Adams's narrative voice—the asides, digressions, deadpan prose—is the joke itself.","Book Wins","2026-04-11"
"howls-moving-castle.html","howls-moving-castle","Howl's Moving Castle: Jones vs Miyazaki's Magic","Jones's Sophie breaks curses without knowing it. Miyazaki's breaks them by feeling everything. Both are essential. Read first.","Jones's Sophie unknowingly breaks curses through magic; Miyazaki's transforms through feeling.","Too Close to Call","2026-04-11"
"hunger-games-sunrise.html","hunger-games-sunrise","Hunger Games: Collins's Propaganda vs Fiennes","The book gives you the ideology behind the Games. The film will give you the man who built them. Both are essential—differently.","Collins's propaganda argument exists only on the page; Fiennes's Snow exists only on screen.","Too Close to Call","2026-04-11"
"i-am-legend.html","i-am-legend","I Am Legend: Matheson's Ending Inverts Everything","Richard Matheson","The novella's ending redefines Neville as monster, not hero—the film inverts this entirely.","Book Wins","2026-04-11"
"i-robot.html","i-robot","I, Robot: Asimov's Puzzles Become Explosions","The Three Laws are the foundation of science fiction ethics. Proyas uses them as window dressing for explosions. Read the book.","Asimov's Three Laws function as philosophical puzzles; the film uses them as plot furniture.","Book Wins","2026-04-11"
"interview-with-the-vampire-amcplus.html","interview-with-the-vampire-amcplus","Interview with the Vampire: Rice's Grief Lives","AMC's series is bold and brilliant. It still can't give you what Rice does with language alone. Read the book first.","Rice's baroque prose cannot be replicated on screen.","Book Wins","2026-04-11"
"into-the-wild.html","into-the-wild","Into the Wild: Penn Made McCandless a Martyr","The book gives you Everett Ruess, Gene Rosellini, the context that explains Chris. The film gives you a beautiful death. Read first.","Krakauer's parallel stories of other wilderness seekers provide context Penn's film omits.","Book Wins","2026-04-11"
"it-ends-with-us.html","it-ends-with-us","It Ends With Us: Hoover Shows Why Lily Stays","The novel makes you understand the rationalizations that keep Lily trapped. The film only shows the violence. Read the book first.","Lily's interior rationalizations of abuse exist only in Hoover's prose.","Book Wins","2026-04-11"
"it-muschietti.html","it-muschietti","It: King's Cosmic Horror Lives in the Book","Muschietti made the best King adaptation in years. He can't touch the novel's dual timeline or what It actually is. Read first.","King's dual timeline and cosmic mythology exist only on the page.","Book Wins","2026-04-11"
"jane-eyre.html","jane-eyre","Jane Eyre: Brontë's 'Reader, I Married Him' Wins","Fukunaga made the finest adaptation yet. It's still considerably less than the novel. Jane's voice is its own world.","Jane's direct address to the reader exists only on the page.","Book Wins","2026-04-11"
"jaws.html","jaws","Jaws: Spielberg's Restraint Beats Benchley's Pulp","Jaws book vs movie: Spielberg made Benchley's B-movie premise mythic. Either order works—the film transcends the novel's pulp.","Spielberg's restraint transcends Benchley's overwritten pulp.","Film Wins","2026-04-15"
"jurassic-park.html","jurassic-park","Jurassic Park: Crichton's Chaos Theory Dies","Spielberg made cinema magic. Crichton wrote a warning about hubris that the film turned into a theme park ride. Read first.","Crichton's chaos theory argument survives only on the page; Spielberg's dinosaurs exist only on screen.","Book Wins","2026-04-11"
"kite-runner.html","kite-runner","The Kite Runner: Can't Trap You in Amir's Shame","Hosseini makes you live inside Amir's shame for 400 pages. Forster's film is sincere but can't replicate that suffocation.","Only the novel traps you inside Amir's guilty conscience for four hundred pages.","Book Wins","2026-04-11"
"la-confidential.html","la-confidential","LA Confidential: Ellroy's Staccato vs Hanson","One of the great American crime novels. One of the great American crime films. Different achievements at different scales. Read both.","Ellroy's staccato prose owns the page; Hanson's visual compression owns the screen.","Too Close to Call","2026-04-11"
"lady-chatterleys-lover.html","lady-chatterleys-lover","Lady Chatterley's Lover Book vs Movie","","Film deepens Lawrence's sexual politics beyond the novel's reach.","Film Wins","2026-04-15"
"les-miserables.html","les-miserables","Les Misérables: Hugo's Valjean Thinks","The musical is magnificent spectacle. It can't give you the moral crisis that happens inside Valjean's head. Read the book first.","Hugo's philosophical digressions and Valjean's internal crises cannot be sung.","Book Wins","2026-04-11"
"little-women.html","little-women","Little Women: Alcott's Voice vs Gerwig's Structure","Alcott wrote the great American novel of female ambition. Gerwig made it formally inventive. Both are essential. Either order works.","Alcott's moral voice exists only on the page; Gerwig's non-linear structure exists only on screen.","Too Close to Call","2026-04-11"
"lonesome-dove.html","lonesome-dove","Lonesome Dove: Duvall Is Perfect. He Still Can't","McMurtry gives you decades of silence between Call and Gus. The miniseries gives you their faces. Read first—then watch them ride.","McMurtry's interior monologues give Gus and Call depths Duvall and Jones cannot fully capture.","Book Wins","2026-04-11"
"looking-for-alaska.html","looking-for-alaska","Looking for Alaska: Green Traps You in Grief","The novel's first-person spiral makes Alaska's death unbearable in ways the series can't touch. You need to feel it from inside.","First-person narration traps you inside Pudge's grief; the series watches from outside.","Book Wins","2026-04-11"
"lord-of-the-flies.html","lord-of-the-flies","Lord of the Flies: Golding Makes You Complicit","The novel's ironic voice implicates the reader in the horror. Brook's film is raw and sincere, but it can't argue what Golding argues.","Golding's ironic narrative voice implicates the reader; the film presents events without that frame.","Book Wins","2026-04-11"
"love-simon.html","love-simon","Love, Simon: The Neuroses Are What Matter","Albertalli's Simon is anxious, messy, self-sabotaging. Berlanti's is a rom-com lead. The neuroses make the coming-out story work.","Albertalli's first-person voice captures Simon's neuroses; the film smooths them away.","Book Wins","2026-04-11"
"margos-got-money-troubles.html","margos-got-money-troubles","Margo's Got Money Troubles: Thorpe's Voice Wins","Walsh cast it perfectly. The series is warm, sharp, excellent. But Thorpe's first-person wit lives only on the page. Read first.","Thorpe's first-person prose voice—witty, precise, irreplaceable—is the novel's defining asset.","Book Wins","2026-04-11"
"me-before-you.html","me-before-you","Me Before You: The Book Lets Will Explain","Moyes gives you Will's reasoning in his own voice. Clarke can only show his exterior. The novel earns what the film can't. Read first.","Will's alternating first-person chapters give you his reasoning; the film shows only his exterior.","Book Wins","2026-04-11"
"mickey-17.html","mickey-17","Mickey 17: Ashton's Dread Lingers, Bong Resolves","Joon-ho made a stunning film. It can't hold the existential terror Ashton sustains in Mickey's head. Read the book first.","Ashton's internal monologue sustains existential dread the film resolves too easily.","Book Wins","2026-04-11"
"misery.html","misery","Misery: King's Axe vs Bates's Face — Both Win","The novel has Paul's terror and the full horror of the hobbling. The film has Kathy Bates. One of the rare ties where both are essential.","King's interior monologue and serial killer backstory versus Bates's definitive Oscar-winning performance.","Too Close to Call","2026-04-11"
"my-brilliant-friend.html","my-brilliant-friend","My Brilliant Friend: Without Elena's Jealousy","Costanzo's series is beautiful. But Ferrante's unreliable narrator is the story—and HBO can't show what Elena won't admit she feels.","Elena's jealous, unreliable narration exists only on the page.","Book Wins","2026-04-11"
"my-sisters-keeper.html","my-sisters-keeper","My Sister's Keeper: Book's Seven Voices Win","Picoult gives every family member a chapter. Cassavetes gives Cameron Diaz a voiceover. The moral weight disappears. Read first.","Seven narrators create moral complexity the film's single voiceover cannot replicate.","Book Wins","2026-04-11"
"narnia-magicians-nephew.html","narnia-magicians-nephew","The Magician's Nephew: Aslan's Song Can't Survive","Lewis made you hear creation in silence. Gerwig will give you a soundtrack. The book's magic lives in what you imagine, not see.","Lewis's creation song only works when you imagine it yourself.","Book Wins","2026-04-11"
"never-let-me-go.html","never-let-me-go","Never Let Me Go: Kathy's Voice Is Everything","Ishiguro's digressions are the point—they enact memory, denial, grief. The film is faithful and heartbreaking. It isn't the book.","Kathy's digressive narration—the novel's irreplaceable formal achievement—cannot be replicated on screen.","Book Wins","2026-04-11"
"no-country-for-old-men.html","no-country-for-old-men","No Country for Old Men: McCarthy Meets the Coens","No Country for Old Men book vs movie: The Coens' restraint matches McCarthy's brutality perfectly. Either order works—both devastate.","Film and book are equally devastating, different mediums, same vision.","Too Close to Call","2026-04-15"
"normal-people.html","normal-people","Normal People: Rooney's Silence vs Mescal's Face","The novel gives you what Connell can't say. The series gives you what he can't hide. Both are essential. Start with either.","Rooney's free indirect style exists only on the page; Mescal and Edgar-Jones own the screen.","Too Close to Call","2026-04-11"
"norwegian-wood.html","norwegian-wood","Norwegian Wood: Murakami's Grief vs Hung's Visuals","Norwegian Wood book vs movie: Murakami's introspection meets Hung's lush cinematography. Either order works—the film honors mood.","Book's depth versus film's visual poetry—different mediums, equal power.","Too Close to Call","2026-04-15"
"of-mice-and-men.html","of-mice-and-men","Of Mice and Men: Refrain vs Malkovich's Eyes","The novella builds through repetition. The film builds through Malkovich's face. Both versions break your heart. Either order works.","Steinbeck's repeated phrases accumulate on the page; Malkovich's eyes own the screen.","Too Close to Call","2026-04-11"
"olive-kitteridge.html","olive-kitteridge","Olive Kitteridge: Strout Hides Her, HBO Won't","The book lets Olive haunt the edges of other people's stories. The miniseries makes her the star of every scene. Read the novel first.","The novel's fragmented structure reveals Olive obliquely; the miniseries centers her constantly.","Book Wins","2026-04-11"
"on-the-road.html","on-the-road","On the Road: The Novel Is the Trip","Salles made a beautiful film. It can't do what Kerouac does in the sentences. The road is the prose. Read the book first.","Kerouac's spontaneous prose style is the experience; images cannot replace it.","Book Wins","2026-04-11"
"one-day.html","one-day","One Day: Twenty Years in Two Hours Loses It","Nicholls's annual snapshots accumulate meaning the 2011 film can't replicate. The structure is the story. Read the book first.","The annual structure accumulates emotional weight that two-hour compression cannot replicate.","Book Wins","2026-04-11"
"one-flew-over-the-cuckoos-nest.html","one-flew-over-the-cuckoos-nest","Cuckoo's Nest: Kesey's Bromden vs Nicholson","The novel is Bromden's hallucination. The film is Nicholson's rebellion. Both are masterpieces. Read first—the Chief deserves it.","Bromden's hallucinatory narration exists only on the page; Nicholson's performance owns the screen.","Too Close to Call","2026-04-11"
"outlander.html","outlander","Outlander: You Never Hear Claire Think on Screen","Balfe is perfect casting. But Gabaldon's first-person narration gives you Claire's mind in ways the series can't. Read first.","Claire's first-person voice and interior monologue exist only on the page.","Book Wins","2026-04-11"
"pachinko.html","pachinko","Pachinko: The Series Can't Break Your Heart","Apple TV+ made a beautiful adaptation. It can't replicate the four-generation scope that makes Noa's fate devastating. Read first.","The novel's four-generation scope and Noa's devastating arc are irreplaceable.","Book Wins","2026-04-11"
